userid,username
10291533,ralphlauren
16163106,libertylondon
18874588,coterie_show
19114459,zegnaofficial
22046572,nicolaradano
24838784,cerruti1881
25025320,instagram
48391817,suitsupply
181301709,hardyamieslndn
233639381,pantone
290002297,lanificiocerruti
326638514,brendancia
342885079,lvmh
373549121,artbasel
412700352,hackettlondon
489340919,esquire
496154206,wrocenska
499092101,balmipede
532885075,dormeuil1842
547522495,canclini1925
563580616,larusmiani
613496053,gieveslondon
690480865,scabal
700681702,tomford
1107766105,instagramforbusiness
1248528481,brioni_official
1370313838,andersonandsheppard
1443403163,marni
1530170851,harrisons1863
1574973459,nyfw
1591719302,carloparrotta
1592873872,hollandandsherryapparel
1599314638,viviennewestwoodjapan
1649708053,yohjiyamamotoofficial
1666209195,vitalebarberiscanonico1663
1674967470,reda1865
1677617872,degeandskinnerofficial
1680019403,lemaire_official
1713037542,pitti.uomo
1812343717,loropiana
1932156807,henrypooleco
2011342330,stefanoricciofficial
2030557399,kiton
2064902748,cesareattolininapoli
2197555036,zilli.official
2208268956,tessituramonti1911
2209564209,parisfashionweek
2334192693,gqstyle
3000674349,londonfashionweek
3011298804,spaccaneapolis
3168886372,bernhardroetzel
3643014279,langleyseye
3979271714,suistudio
4031672538,pittiuomo_official
4103178674,nortonandsons
4400783715,drago_s.p.a
4730071876,sastreriasandoval
6839645345,mauricesedwell
6855495848,_justinrock
8150360412,brunellocucinelli_brand
8298809866,metaforbusiness
8465704033,dapperclassic
26943691082,kute_smart
28245011466,giorgioarmani
42588093409,kutesmart_rc
44785850685,luigiborrellinapoli1957
51265837039,kutesmart_ladies
